Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot18
Operator	Cody
Date	8/29/2017
Time	15:17
Sign	POS
Grating Spacing	09.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:18:52
	
Time	Amplitude
0.000000E+0	-3.323113E-3
5.000000E-11	-3.299132E-3
1.000000E-10	-3.292280E-3
1.500000E-10	-3.275151E-3
2.000000E-10	-3.268299E-3
2.500000E-10	-3.305984E-3
3.000000E-10	-3.360798E-3
3.500000E-10	-3.419038E-3
4.000000E-10	-3.484130E-3
4.500000E-10	-3.545796E-3
5.000000E-10	-3.597185E-3
5.500000E-10	-3.638295E-3
6.000000E-10	-3.651999E-3
6.500000E-10	-3.648573E-3
7.000000E-10	-3.624592E-3
7.500000E-10	-3.580055E-3
8.000000E-10	-3.532093E-3
8.500000E-10	-3.487556E-3
9.000000E-10	-3.436168E-3
9.500000E-10	-3.401909E-3
1.000000E-9	-3.391631E-3
1.050000E-9	-3.398483E-3
1.100000E-9	-3.405335E-3
1.150000E-9	-3.419038E-3
1.200000E-9	-3.443020E-3
1.250000E-9	-3.460149E-3
1.300000E-9	-3.470427E-3
1.350000E-9	-3.477278E-3
1.400000E-9	-3.463575E-3
1.450000E-9	-3.436168E-3
1.500000E-9	-3.412187E-3
1.550000E-9	-3.395057E-3
1.600000E-9	-3.381354E-3
1.650000E-9	-3.367650E-3
1.700000E-9	-3.353946E-3
1.750000E-9	-3.360798E-3
1.800000E-9	-3.384779E-3
1.850000E-9	-3.412187E-3
1.900000E-9	-3.429316E-3
1.950000E-9	-3.439594E-3
2.000000E-9	-3.473853E-3
2.050000E-9	-3.518389E-3
2.100000E-9	-3.549222E-3
2.150000E-9	-3.569777E-3
2.200000E-9	-3.593759E-3
2.250000E-9	-3.610888E-3
2.300000E-9	-3.624592E-3
2.350000E-9	-3.651999E-3
2.400000E-9	-3.675980E-3
2.450000E-9	-3.686258E-3
2.500000E-9	-3.689684E-3
2.550000E-9	-3.696535E-3
2.600000E-9	-3.706813E-3
2.650000E-9	-3.713665E-3
2.700000E-9	-3.710239E-3
2.750000E-9	-3.696535E-3
2.800000E-9	-3.689684E-3
2.850000E-9	-3.679406E-3
2.900000E-9	-3.662277E-3
2.950000E-9	-3.645147E-3
3.000000E-9	-3.631444E-3
3.050000E-9	-3.621166E-3
3.100000E-9	-3.607462E-3
3.150000E-9	-3.586907E-3
3.200000E-9	-3.569777E-3
3.250000E-9	-3.538944E-3
3.300000E-9	-3.484130E-3
3.350000E-9	-3.425890E-3
3.400000E-9	-3.381354E-3
3.450000E-9	-3.347095E-3
3.500000E-9	-3.305984E-3
3.550000E-9	-3.261447E-3
3.600000E-9	-3.237466E-3
3.650000E-9	-3.244318E-3
3.700000E-9	-3.254596E-3
3.750000E-9	-3.288854E-3
3.800000E-9	-3.377928E-3
3.850000E-9	-3.480704E-3
3.900000E-9	-3.552648E-3
3.950000E-9	-3.617740E-3
4.000000E-9	-3.679406E-3
4.050000E-9	-3.720517E-3
4.100000E-9	-3.747924E-3
4.150000E-9	-3.758201E-3
4.200000E-9	-3.723943E-3
4.250000E-9	-3.662277E-3
4.300000E-9	-3.593759E-3
4.350000E-9	-3.508111E-3
4.400000E-9	-3.429316E-3
4.450000E-9	-3.371076E-3
4.500000E-9	-3.316262E-3
4.550000E-9	-3.282003E-3
4.600000E-9	-3.295706E-3
4.650000E-9	-3.323113E-3
4.700000E-9	-3.360798E-3
4.750000E-9	-3.425890E-3
4.800000E-9	-3.480704E-3
4.850000E-9	-3.514963E-3
4.900000E-9	-3.556074E-3
4.950000E-9	-3.573203E-3
5.000000E-9	-3.535519E-3
5.050000E-9	-3.480704E-3
5.100000E-9	-3.422464E-3
5.150000E-9	-3.347095E-3
5.200000E-9	-3.275151E-3
5.250000E-9	-3.213485E-3
5.300000E-9	-3.144967E-3
5.350000E-9	-3.079875E-3
5.400000E-9	-3.028487E-3
5.450000E-9	-2.990802E-3
5.500000E-9	-2.990802E-3
5.550000E-9	-3.025061E-3
5.600000E-9	-3.073023E-3
5.650000E-9	-3.134689E-3
5.700000E-9	-3.220337E-3
5.750000E-9	-3.312836E-3
5.800000E-9	-3.412187E-3
5.850000E-9	-3.514963E-3
5.900000E-9	-3.593759E-3
5.950000E-9	-3.648573E-3
6.000000E-9	-3.689684E-3
6.050000E-9	-3.703387E-3
6.100000E-9	-3.699961E-3
6.150000E-9	-3.703387E-3
6.200000E-9	-3.682832E-3
6.250000E-9	-3.628018E-3
6.300000E-9	-3.597185E-3
6.350000E-9	-3.586907E-3
6.400000E-9	-3.559500E-3
6.450000E-9	-3.538944E-3
6.500000E-9	-3.552648E-3
6.550000E-9	-3.566352E-3
6.600000E-9	-3.562926E-3
6.650000E-9	-3.562926E-3
6.700000E-9	-3.552648E-3
6.750000E-9	-3.525241E-3
6.800000E-9	-3.504686E-3
6.850000E-9	-3.487556E-3
6.900000E-9	-3.460149E-3
6.950000E-9	-3.425890E-3
7.000000E-9	-3.398483E-3
7.050000E-9	-3.384779E-3
7.100000E-9	-3.384779E-3
7.150000E-9	-3.388205E-3
7.200000E-9	-3.388205E-3
7.250000E-9	-3.398483E-3
7.300000E-9	-3.415612E-3
7.350000E-9	-3.415612E-3
7.400000E-9	-3.422464E-3
7.450000E-9	-3.449871E-3
7.500000E-9	-3.467001E-3
7.550000E-9	-3.470427E-3
7.600000E-9	-3.480704E-3
7.650000E-9	-3.484130E-3
7.700000E-9	-3.460149E-3
7.750000E-9	-3.405335E-3
7.800000E-9	-3.305984E-3
7.850000E-9	-3.144967E-3
7.900000E-9	-2.912007E-3
7.950000E-9	-2.559140E-3
8.000000E-9	-2.028127E-3
8.050000E-9	-1.271005E-3
8.100000E-9	-2.329605E-4
8.150000E-9	1.147673E-3
8.200000E-9	2.901729E-3
8.250000E-9	5.073743E-3
8.300000E-9	7.680846E-3
8.350000E-9	1.071276E-2
8.400000E-9	1.411467E-2
8.450000E-9	1.780092E-2
8.500000E-9	2.168931E-2
8.550000E-9	2.565307E-2
8.600000E-9	2.953802E-2
8.650000E-9	3.320373E-2
8.700000E-9	3.651999E-2
8.750000E-9	3.937033E-2
8.800000E-9	4.167595E-2
8.850000E-9	4.339575E-2
8.900000E-9	4.450574E-2
8.950000E-9	4.505045E-2
9.000000E-9	4.512582E-2
9.050000E-9	4.481749E-2
9.100000E-9	4.424880E-2
9.150000E-9	4.357390E-2
9.200000E-9	4.288187E-2
9.250000E-9	4.225835E-2
9.300000E-9	4.181984E-2
9.350000E-9	4.158003E-2
9.400000E-9	4.152864E-2
9.450000E-9	4.172392E-2
9.500000E-9	4.213160E-2
9.550000E-9	4.263178E-2
9.600000E-9	4.323473E-2
9.650000E-9	4.394732E-2
9.700000E-9	4.465648E-2
9.750000E-9	4.533138E-2
9.800000E-9	4.599257E-2
9.850000E-9	4.658183E-2
9.900000E-9	4.707516E-2
9.950000E-9	4.751367E-2
1.000000E-8	4.785968E-2
1.005000E-8	4.806524E-2
1.010000E-8	4.818172E-2
1.015000E-8	4.820570E-2
1.020000E-8	4.806524E-2
1.025000E-8	4.775006E-2
1.030000E-8	4.727043E-2
1.035000E-8	4.661266E-2
1.040000E-8	4.577674E-2
1.045000E-8	4.475240E-2
1.050000E-8	4.352593E-2
1.055000E-8	4.210762E-2
1.060000E-8	4.051458E-2
1.065000E-8	3.875367E-2
1.070000E-8	3.684202E-2
1.075000E-8	3.478306E-2
1.080000E-8	3.258707E-2
1.085000E-8	3.030542E-2
1.090000E-8	2.796554E-2
1.095000E-8	2.556057E-2
1.100000E-8	2.312476E-2
1.105000E-8	2.070951E-2
1.110000E-8	1.831823E-2
1.115000E-8	1.597493E-2
1.120000E-8	1.376180E-2
1.125000E-8	1.170969E-2
1.130000E-8	9.791194E-3
1.135000E-8	8.047416E-3
1.140000E-8	6.522895E-3
1.145000E-8	5.217631E-3
1.150000E-8	4.141901E-3
1.155000E-8	3.319688E-3
1.160000E-8	2.730434E-3
1.165000E-8	2.384420E-3
1.170000E-8	2.312476E-3
1.175000E-8	2.490622E-3
1.180000E-8	2.908581E-3
1.185000E-8	3.607462E-3
1.190000E-8	4.590693E-3
1.195000E-8	5.817161E-3
1.200000E-8	7.283442E-3
1.205000E-8	8.951851E-3
1.210000E-8	1.078813E-2
1.215000E-8	1.280940E-2
1.220000E-8	1.499170E-2
1.225000E-8	1.725963E-2
1.230000E-8	1.957554E-2
1.235000E-8	2.194283E-2
1.240000E-8	2.432382E-2
1.245000E-8	2.667398E-2
1.250000E-8	2.898646E-2
1.255000E-8	3.125440E-2
1.260000E-8	3.342641E-2
1.265000E-8	3.549907E-2
1.270000E-8	3.746896E-2
1.275000E-8	3.929496E-2
1.280000E-8	4.095994E-2
1.285000E-8	4.249131E-2
1.290000E-8	4.384112E-2
1.295000E-8	4.495453E-2
1.300000E-8	4.588980E-2
1.305000E-8	4.666405E-2
1.310000E-8	4.720191E-2
1.315000E-8	4.751367E-2
1.320000E-8	4.768154E-2
1.325000E-8	4.766098E-2
1.330000E-8	4.743830E-2
1.335000E-8	4.708201E-2
1.340000E-8	4.661266E-2
1.345000E-8	4.599600E-2
1.350000E-8	4.525601E-2
1.355000E-8	4.443379E-2
1.360000E-8	4.350880E-2
1.365000E-8	4.249817E-2
1.370000E-8	4.141559E-2
1.375000E-8	4.024393E-2
1.380000E-8	3.897635E-2
1.385000E-8	3.765053E-2
1.390000E-8	3.626305E-2
1.395000E-8	3.479334E-2
1.400000E-8	3.327567E-2
1.405000E-8	3.173745E-2
1.410000E-8	3.014098E-2
1.415000E-8	2.849655E-2
1.420000E-8	2.683842E-2
1.425000E-8	2.516659E-2
1.430000E-8	2.347762E-2
1.435000E-8	2.179894E-2
1.440000E-8	2.011683E-2
1.445000E-8	1.844157E-2
1.450000E-8	1.682797E-2
1.455000E-8	1.528975E-2
1.460000E-8	1.383717E-2
1.465000E-8	1.250107E-2
1.470000E-8	1.127460E-2
1.475000E-8	1.014063E-2
1.480000E-8	9.153978E-3
1.485000E-8	8.331765E-3
1.490000E-8	7.632883E-3
1.495000E-8	7.067611E-3
