Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot02
Operator	Cody
Date	8/8/2017
Time	14:55
Sign	POS
Grating Spacing	04.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:57:24
	
Time	Amplitude
0.000000E+0	-4.162469E-4
5.000000E-11	-3.699972E-4
1.000000E-10	-3.511548E-4
1.500000E-10	-3.614325E-4
2.000000E-10	-4.008303E-4
2.500000E-10	-4.693483E-4
3.000000E-10	-5.686994E-4
3.500000E-10	-6.868930E-4
4.000000E-10	-8.033736E-4
4.500000E-10	-9.027247E-4
5.000000E-10	-9.763815E-4
5.500000E-10	-1.005502E-3
6.000000E-10	-9.952240E-4
6.500000E-10	-9.609650E-4
7.000000E-10	-8.975858E-4
7.500000E-10	-7.965218E-4
8.000000E-10	-6.783282E-4
8.500000E-10	-5.669865E-4
9.000000E-10	-4.916167E-4
9.500000E-10	-4.539318E-4
1.000000E-9	-4.299505E-4
1.050000E-9	-4.316634E-4
1.100000E-9	-4.744872E-4
1.150000E-9	-5.207368E-4
1.200000E-9	-5.652735E-4
1.250000E-9	-6.166620E-4
1.300000E-9	-6.543469E-4
1.350000E-9	-6.663376E-4
1.400000E-9	-6.800412E-4
1.450000E-9	-6.834671E-4
1.500000E-9	-6.594858E-4
1.550000E-9	-6.269397E-4
1.600000E-9	-5.978196E-4
1.650000E-9	-5.635606E-4
1.700000E-9	-5.378663E-4
1.750000E-9	-5.293016E-4
1.800000E-9	-5.207368E-4
1.850000E-9	-5.070332E-4
1.900000E-9	-5.018944E-4
1.950000E-9	-5.138850E-4
2.000000E-9	-5.275886E-4
2.050000E-9	-5.464311E-4
2.100000E-9	-5.772642E-4
2.150000E-9	-6.046714E-4
2.200000E-9	-6.320786E-4
2.250000E-9	-6.697635E-4
2.300000E-9	-6.903189E-4
2.350000E-9	-6.971707E-4
2.400000E-9	-7.091613E-4
2.450000E-9	-7.108743E-4
2.500000E-9	-6.834671E-4
2.550000E-9	-6.526340E-4
2.600000E-9	-6.183750E-4
2.650000E-9	-5.704124E-4
2.700000E-9	-5.190239E-4
2.750000E-9	-4.744872E-4
2.800000E-9	-4.316634E-4
2.850000E-9	-3.956915E-4
2.900000E-9	-3.802749E-4
2.950000E-9	-3.819879E-4
3.000000E-9	-3.956915E-4
3.050000E-9	-4.299505E-4
3.100000E-9	-4.847649E-4
3.150000E-9	-5.344404E-4
3.200000E-9	-5.789771E-4
3.250000E-9	-6.355045E-4
3.300000E-9	-6.988836E-4
3.350000E-9	-7.571239E-4
3.400000E-9	-8.205031E-4
3.450000E-9	-8.821693E-4
3.500000E-9	-9.318448E-4
3.550000E-9	-9.729556E-4
3.600000E-9	-1.010641E-3
3.650000E-9	-1.039761E-3
3.700000E-9	-1.046612E-3
3.750000E-9	-1.024344E-3
3.800000E-9	-9.763815E-4
3.850000E-9	-9.010117E-4
3.900000E-9	-7.999477E-4
3.950000E-9	-6.851800E-4
4.000000E-9	-5.789771E-4
4.050000E-9	-4.916167E-4
4.100000E-9	-4.213857E-4
4.150000E-9	-3.751361E-4
4.200000E-9	-3.648584E-4
4.250000E-9	-3.939785E-4
4.300000E-9	-4.487929E-4
4.350000E-9	-5.190239E-4
4.400000E-9	-6.012455E-4
4.450000E-9	-6.886059E-4
4.500000E-9	-7.725405E-4
4.550000E-9	-8.393455E-4
4.600000E-9	-8.718916E-4
4.650000E-9	-8.667527E-4
4.700000E-9	-8.324937E-4
4.750000E-9	-7.793923E-4
4.800000E-9	-7.108743E-4
4.850000E-9	-6.286527E-4
4.900000E-9	-5.481440E-4
4.950000E-9	-4.830519E-4
5.000000E-9	-4.316634E-4
5.050000E-9	-3.991174E-4
5.100000E-9	-3.922656E-4
5.150000E-9	-3.922656E-4
5.200000E-9	-3.974044E-4
5.250000E-9	-4.111080E-4
5.300000E-9	-4.282375E-4
5.350000E-9	-4.402282E-4
5.400000E-9	-4.470800E-4
5.450000E-9	-4.522188E-4
5.500000E-9	-4.522188E-4
5.550000E-9	-4.419411E-4
5.600000E-9	-4.179598E-4
5.650000E-9	-4.042562E-4
5.700000E-9	-4.145339E-4
5.750000E-9	-4.316634E-4
5.800000E-9	-4.505059E-4
5.850000E-9	-4.762001E-4
5.900000E-9	-5.018944E-4
5.950000E-9	-5.173109E-4
6.000000E-9	-5.190239E-4
6.050000E-9	-5.173109E-4
6.100000E-9	-5.104591E-4
6.150000E-9	-4.899037E-4
6.200000E-9	-4.762001E-4
6.250000E-9	-4.744872E-4
6.300000E-9	-4.762001E-4
6.350000E-9	-4.864778E-4
6.400000E-9	-5.258757E-4
6.450000E-9	-5.704124E-4
6.500000E-9	-6.080973E-4
6.550000E-9	-6.492081E-4
6.600000E-9	-6.954577E-4
6.650000E-9	-7.348556E-4
6.700000E-9	-7.708275E-4
6.750000E-9	-7.965218E-4
6.800000E-9	-8.085124E-4
6.850000E-9	-8.153642E-4
6.900000E-9	-8.170772E-4
6.950000E-9	-8.033736E-4
7.000000E-9	-7.708275E-4
7.050000E-9	-7.280038E-4
7.100000E-9	-6.868930E-4
7.150000E-9	-6.440692E-4
7.200000E-9	-6.132361E-4
7.250000E-9	-5.961066E-4
7.300000E-9	-5.789771E-4
7.350000E-9	-5.601347E-4
7.400000E-9	-5.532829E-4
7.450000E-9	-5.532829E-4
7.500000E-9	-5.635606E-4
7.550000E-9	-5.978196E-4
7.600000E-9	-6.303656E-4
7.650000E-9	-6.372174E-4
7.700000E-9	-6.269397E-4
7.750000E-9	-6.063843E-4
7.800000E-9	-5.669865E-4
7.850000E-9	-5.087462E-4
7.900000E-9	-4.128210E-4
7.950000E-9	-2.518037E-4
8.000000E-9	-1.712950E-5
8.050000E-9	3.186087E-4
8.100000E-9	7.828182E-4
8.150000E-9	1.390915E-3
8.200000E-9	2.177160E-3
8.250000E-9	3.191226E-3
8.300000E-9	4.439967E-3
8.350000E-9	5.916529E-3
8.400000E-9	7.612350E-3
8.450000E-9	9.513725E-3
8.500000E-9	1.157098E-2
8.550000E-9	1.371559E-2
8.600000E-9	1.588076E-2
8.650000E-9	1.800653E-2
8.700000E-9	1.999698E-2
8.750000E-9	2.176646E-2
8.800000E-9	2.329098E-2
8.850000E-9	2.457569E-2
8.900000E-9	2.559661E-2
8.950000E-9	2.634688E-2
9.000000E-9	2.687790E-2
9.050000E-9	2.725132E-2
9.100000E-9	2.751169E-2
9.150000E-9	2.770354E-2
9.200000E-9	2.787312E-2
9.250000E-9	2.804099E-2
9.300000E-9	2.818659E-2
9.350000E-9	2.828081E-2
9.400000E-9	2.827909E-2
9.450000E-9	2.813863E-2
9.500000E-9	2.782002E-2
9.550000E-9	2.726160E-2
9.600000E-9	2.640341E-2
9.650000E-9	2.520949E-2
9.700000E-9	2.368667E-2
9.750000E-9	2.188808E-2
9.800000E-9	1.989763E-2
9.850000E-9	1.779584E-2
9.900000E-9	1.566493E-2
9.950000E-9	1.360254E-2
1.000000E-8	1.170801E-2
1.005000E-8	1.007729E-2
1.010000E-8	8.816554E-3
1.015000E-8	7.989199E-3
1.020000E-8	7.622628E-3
1.025000E-8	7.733969E-3
1.030000E-8	8.323224E-3
1.035000E-8	9.364698E-3
1.040000E-8	1.080015E-2
1.045000E-8	1.254736E-2
1.050000E-8	1.453609E-2
1.055000E-8	1.669612E-2
1.060000E-8	1.891782E-2
1.065000E-8	2.111725E-2
1.070000E-8	2.326186E-2
1.075000E-8	2.526430E-2
1.080000E-8	2.700637E-2
1.085000E-8	2.846580E-2
1.090000E-8	2.962890E-2
1.095000E-8	3.042713E-2
1.100000E-8	3.084509E-2
1.105000E-8	3.093416E-2
1.110000E-8	3.070120E-2
1.115000E-8	3.012394E-2
1.120000E-8	2.923663E-2
1.125000E-8	2.807354E-2
1.130000E-8	2.667235E-2
1.135000E-8	2.507588E-2
1.140000E-8	2.332353E-2
1.145000E-8	2.147525E-2
1.150000E-8	1.959786E-2
1.155000E-8	1.772561E-2
1.160000E-8	1.589789E-2
1.165000E-8	1.419864E-2
1.170000E-8	1.269296E-2
1.175000E-8	1.141167E-2
1.180000E-8	1.042159E-2
1.185000E-8	9.798074E-3
1.190000E-8	9.561687E-3
1.195000E-8	9.717566E-3
1.200000E-8	1.027256E-2
1.205000E-8	1.120955E-2
1.210000E-8	1.249768E-2
1.215000E-8	1.409415E-2
1.220000E-8	1.593729E-2
1.225000E-8	1.793801E-2
1.230000E-8	2.002610E-2
1.235000E-8	2.212960E-2
1.240000E-8	2.416116E-2
1.245000E-8	2.604712E-2
1.250000E-8	2.771724E-2
1.255000E-8	2.909617E-2
1.260000E-8	3.012908E-2
1.265000E-8	3.077657E-2
1.270000E-8	3.101810E-2
1.275000E-8	3.085537E-2
