Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot08
Operator	Cody
Date	8/29/2017
Time	14:49
Sign	FIX
Grating Spacing	09.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:50:41
	
Time	Amplitude
0.000000E+0	-4.624952E-4
5.000000E-11	-5.241612E-4
1.000000E-10	-5.926790E-4
1.500000E-10	-6.337897E-4
2.000000E-10	-6.886039E-4
2.500000E-10	-7.536958E-4
3.000000E-10	-8.153618E-4
3.500000E-10	-8.736020E-4
4.000000E-10	-9.215644E-4
4.500000E-10	-9.284162E-4
5.000000E-10	-9.147127E-4
5.500000E-10	-8.941573E-4
6.000000E-10	-8.393431E-4
6.500000E-10	-7.639735E-4
7.000000E-10	-6.851780E-4
7.500000E-10	-6.029567E-4
8.000000E-10	-5.447165E-4
8.500000E-10	-4.864764E-4
9.000000E-10	-4.316622E-4
9.500000E-10	-3.974033E-4
1.000000E-9	-4.042550E-4
1.050000E-9	-4.248104E-4
1.100000E-9	-4.282363E-4
1.150000E-9	-4.453657E-4
1.200000E-9	-4.487916E-4
1.250000E-9	-4.419398E-4
1.300000E-9	-4.316622E-4
1.350000E-9	-3.871256E-4
1.400000E-9	-3.083301E-4
1.450000E-9	-2.535159E-4
1.500000E-9	-1.952757E-4
1.550000E-9	-1.096285E-4
1.600000E-9	-9.249903E-5
1.650000E-9	-1.370356E-4
1.700000E-9	-1.644427E-4
1.750000E-9	-2.124052E-4
1.800000E-9	-3.425890E-4
1.850000E-9	-4.761987E-4
1.900000E-9	-5.789754E-4
1.950000E-9	-6.851780E-4
2.000000E-9	-8.016583E-4
2.050000E-9	-8.667502E-4
2.100000E-9	-8.633243E-4
2.150000E-9	-8.393431E-4
2.200000E-9	-7.879547E-4
2.250000E-9	-6.988816E-4
2.300000E-9	-6.098084E-4
2.350000E-9	-5.344389E-4
2.400000E-9	-4.761987E-4
2.450000E-9	-4.145327E-4
2.500000E-9	-3.528667E-4
2.550000E-9	-3.357372E-4
2.600000E-9	-3.836997E-4
2.650000E-9	-4.385139E-4
2.700000E-9	-4.522175E-4
2.750000E-9	-4.556434E-4
2.800000E-9	-4.522175E-4
2.850000E-9	-4.213845E-4
2.900000E-9	-3.871256E-4
2.950000E-9	-3.631444E-4
3.000000E-9	-3.220337E-4
3.050000E-9	-2.672194E-4
3.100000E-9	-2.466641E-4
3.150000E-9	-2.672194E-4
3.200000E-9	-3.014783E-4
3.250000E-9	-3.597185E-4
3.300000E-9	-4.350880E-4
3.350000E-9	-4.933282E-4
3.400000E-9	-5.344389E-4
3.450000E-9	-5.789754E-4
3.500000E-9	-5.926790E-4
3.550000E-9	-5.549942E-4
3.600000E-9	-5.036058E-4
3.650000E-9	-4.556434E-4
3.700000E-9	-3.836997E-4
3.750000E-9	-2.877748E-4
3.800000E-9	-1.952757E-4
3.850000E-9	-1.267579E-4
3.900000E-9	-8.564725E-5
3.950000E-9	-5.481424E-5
4.000000E-9	-5.138835E-5
4.050000E-9	-7.194369E-5
4.100000E-9	-1.027767E-4
4.150000E-9	-1.541651E-4
4.200000E-9	-2.226829E-4
4.250000E-9	-2.843489E-4
4.300000E-9	-3.254596E-4
4.350000E-9	-3.562926E-4
4.400000E-9	-3.699961E-4
4.450000E-9	-3.597185E-4
4.500000E-9	-3.494408E-4
4.550000E-9	-3.151819E-4
4.600000E-9	-2.466641E-4
4.650000E-9	-2.055534E-4
4.700000E-9	-1.918498E-4
4.750000E-9	-1.541651E-4
4.800000E-9	-1.164803E-4
4.850000E-9	-1.062026E-4
4.900000E-9	-9.249903E-5
4.950000E-9	-9.592492E-5
5.000000E-9	-1.370356E-4
5.050000E-9	-1.747204E-4
5.100000E-9	-2.021275E-4
5.150000E-9	-2.809230E-4
5.200000E-9	-3.802738E-4
5.250000E-9	-4.350880E-4
5.300000E-9	-4.899023E-4
5.350000E-9	-5.549942E-4
5.400000E-9	-5.926790E-4
5.450000E-9	-6.166602E-4
5.500000E-9	-6.406414E-4
5.550000E-9	-6.406414E-4
5.600000E-9	-6.029567E-4
5.650000E-9	-5.789754E-4
5.700000E-9	-5.652719E-4
5.750000E-9	-5.447165E-4
5.800000E-9	-5.275871E-4
5.850000E-9	-5.412906E-4
5.900000E-9	-5.858272E-4
5.950000E-9	-6.235120E-4
