Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot10
Operator	Cody
Date	8/8/2017
Time	15:51
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:52:52
	
Time	Amplitude
0.000000E+0	6.269379E-4
5.000000E-11	6.166602E-4
1.000000E-10	5.515683E-4
1.500000E-10	4.693469E-4
2.000000E-10	3.528667E-4
2.500000E-10	1.747204E-4
3.000000E-10	0.000000E+0
3.500000E-10	-1.267579E-4
4.000000E-10	-2.569418E-4
4.500000E-10	-3.836997E-4
5.000000E-10	-4.487916E-4
5.500000E-10	-4.727728E-4
6.000000E-10	-4.727728E-4
6.500000E-10	-4.556434E-4
7.000000E-10	-4.111068E-4
7.500000E-10	-3.494408E-4
8.000000E-10	-2.980524E-4
8.500000E-10	-2.363864E-4
9.000000E-10	-1.747204E-4
9.500000E-10	-1.541651E-4
1.000000E-9	-1.541651E-4
1.050000E-9	-1.301838E-4
1.100000E-9	-1.062026E-4
1.150000E-9	-1.096285E-4
1.200000E-9	-1.233320E-4
1.250000E-9	-1.199062E-4
1.300000E-9	-1.233320E-4
1.350000E-9	-1.575909E-4
1.400000E-9	-1.815722E-4
1.450000E-9	-1.884240E-4
1.500000E-9	-2.158311E-4
1.550000E-9	-2.637935E-4
1.600000E-9	-2.877748E-4
1.650000E-9	-3.151819E-4
1.700000E-9	-3.631444E-4
1.750000E-9	-3.905515E-4
1.800000E-9	-4.076809E-4
1.850000E-9	-4.248104E-4
1.900000E-9	-4.248104E-4
1.950000E-9	-3.939774E-4
2.000000E-9	-3.528667E-4
2.050000E-9	-3.151819E-4
2.100000E-9	-2.912007E-4
2.150000E-9	-2.774971E-4
2.200000E-9	-2.500900E-4
2.250000E-9	-2.226829E-4
2.300000E-9	-2.295346E-4
2.350000E-9	-2.329605E-4
2.400000E-9	-2.021275E-4
2.450000E-9	-1.575909E-4
2.500000E-9	-1.027767E-4
2.550000E-9	-5.481424E-5
2.600000E-9	-2.740712E-5
2.650000E-9	1.027767E-5
2.700000E-9	6.851780E-5
2.750000E-9	1.027767E-4
2.800000E-9	1.130544E-4
2.850000E-9	1.336097E-4
2.900000E-9	1.438874E-4
2.950000E-9	1.301838E-4
3.000000E-9	1.027767E-4
3.050000E-9	6.509191E-5
3.100000E-9	-3.425890E-6
3.150000E-9	-5.824013E-5
3.200000E-9	-9.935081E-5
3.250000E-9	-1.712945E-4
3.300000E-9	-2.535159E-4
3.350000E-9	-3.014783E-4
3.400000E-9	-3.288854E-4
3.450000E-9	-3.665702E-4
3.500000E-9	-3.905515E-4
3.550000E-9	-3.802738E-4
3.600000E-9	-3.631444E-4
3.650000E-9	-3.391631E-4
3.700000E-9	-3.014783E-4
3.750000E-9	-2.500900E-4
3.800000E-9	-1.849981E-4
3.850000E-9	-1.301838E-4
3.900000E-9	-8.907314E-5
3.950000E-9	-5.138835E-5
4.000000E-9	-2.740712E-5
4.050000E-9	-4.796246E-5
4.100000E-9	-1.130544E-4
4.150000E-9	-1.849981E-4
4.200000E-9	-2.466641E-4
4.250000E-9	-3.117560E-4
4.300000E-9	-3.871256E-4
4.350000E-9	-4.487916E-4
4.400000E-9	-4.933282E-4
4.450000E-9	-5.001800E-4
4.500000E-9	-4.659211E-4
4.550000E-9	-4.179586E-4
4.600000E-9	-3.460149E-4
4.650000E-9	-2.295346E-4
4.700000E-9	-1.164803E-4
4.750000E-9	-1.370356E-5
4.800000E-9	1.062026E-4
4.850000E-9	2.124052E-4
4.900000E-9	2.843489E-4
4.950000E-9	3.528667E-4
5.000000E-9	3.974033E-4
5.050000E-9	3.734220E-4
5.100000E-9	3.254596E-4
5.150000E-9	2.774971E-4
5.200000E-9	2.089793E-4
5.250000E-9	9.935081E-5
5.300000E-9	-3.425890E-6
5.350000E-9	-1.062026E-4
5.400000E-9	-2.089793E-4
5.450000E-9	-2.809230E-4
5.500000E-9	-3.049042E-4
5.550000E-9	-3.288854E-4
5.600000E-9	-3.494408E-4
5.650000E-9	-3.391631E-4
5.700000E-9	-3.288854E-4
5.750000E-9	-3.323113E-4
5.800000E-9	-3.391631E-4
5.850000E-9	-3.357372E-4
5.900000E-9	-3.186078E-4
5.950000E-9	-3.117560E-4
6.000000E-9	-3.254596E-4
6.050000E-9	-3.323113E-4
6.100000E-9	-3.288854E-4
6.150000E-9	-3.494408E-4
6.200000E-9	-3.562926E-4
6.250000E-9	-3.528667E-4
6.300000E-9	-3.562926E-4
6.350000E-9	-3.597185E-4
6.400000E-9	-3.323113E-4
6.450000E-9	-2.980524E-4
6.500000E-9	-2.980524E-4
6.550000E-9	-3.014783E-4
6.600000E-9	-2.603676E-4
6.650000E-9	-2.192570E-4
6.700000E-9	-2.089793E-4
6.750000E-9	-1.884240E-4
6.800000E-9	-1.541651E-4
6.850000E-9	-1.404615E-4
6.900000E-9	-1.199062E-4
6.950000E-9	-7.879547E-5
7.000000E-9	-6.166602E-5
7.050000E-9	-6.166602E-5
7.100000E-9	-2.740712E-5
7.150000E-9	3.083301E-5
7.200000E-9	6.166602E-5
7.250000E-9	8.564725E-5
7.300000E-9	1.370356E-4
7.350000E-9	1.849981E-4
7.400000E-9	2.158311E-4
7.450000E-9	2.363864E-4
7.500000E-9	2.569418E-4
7.550000E-9	2.672194E-4
7.600000E-9	2.672194E-4
7.650000E-9	2.637935E-4
7.700000E-9	2.466641E-4
7.750000E-9	2.432382E-4
7.800000E-9	2.877748E-4
7.850000E-9	3.631444E-4
7.900000E-9	4.727728E-4
7.950000E-9	6.920298E-4
8.000000E-9	1.082581E-3
8.050000E-9	1.671834E-3
8.100000E-9	2.514603E-3
8.150000E-9	3.737646E-3
8.200000E-9	5.430036E-3
8.250000E-9	7.626031E-3
8.300000E-9	1.037360E-2
8.350000E-9	1.374810E-2
8.400000E-9	1.773926E-2
8.450000E-9	2.228542E-2
8.500000E-9	2.726666E-2
8.550000E-9	3.256309E-2
8.600000E-9	3.804794E-2
8.650000E-9	4.349510E-2
8.700000E-9	4.866134E-2
8.750000E-9	5.340963E-2
8.800000E-9	5.762347E-2
8.850000E-9	6.113501E-2
8.900000E-9	6.386202E-2
8.950000E-9	6.587987E-2
9.000000E-9	6.723652E-2
9.050000E-9	6.797651E-2
9.100000E-9	6.826429E-2
9.150000E-9	6.831567E-2
9.200000E-9	6.824030E-2
9.250000E-9	6.814781E-2
9.300000E-9	6.821632E-2
9.350000E-9	6.851095E-2
9.400000E-9	6.902826E-2
9.450000E-9	6.974427E-2
9.500000E-9	7.059389E-2
9.550000E-9	7.146407E-2
9.600000E-9	7.225202E-2
9.650000E-9	7.283100E-2
9.700000E-9	7.303998E-2
9.750000E-9	7.278304E-2
9.800000E-9	7.198823E-2
9.850000E-9	7.057676E-2
9.900000E-9	6.850752E-2
9.950000E-9	6.580107E-2
1.000000E-8	6.251907E-2
1.005000E-8	5.870605E-2
1.010000E-8	5.443397E-2
1.015000E-8	4.983300E-2
1.020000E-8	4.500934E-2
1.025000E-8	4.011717E-2
1.030000E-8	3.529695E-2
1.035000E-8	3.068570E-2
1.040000E-8	2.639306E-2
1.045000E-8	2.250810E-2
1.050000E-8	1.911304E-2
1.055000E-8	1.631066E-2
1.060000E-8	1.416948E-2
1.065000E-8	1.270663E-2
1.070000E-8	1.198034E-2
1.075000E-8	1.202487E-2
1.080000E-8	1.281968E-2
1.085000E-8	1.432707E-2
1.090000E-8	1.651279E-2
1.095000E-8	1.934943E-2
1.100000E-8	2.275476E-2
1.105000E-8	2.662944E-2
1.110000E-8	3.089468E-2
1.115000E-8	3.544426E-2
1.120000E-8	4.015486E-2
1.125000E-8	4.490657E-2
1.130000E-8	4.958291E-2
1.135000E-8	5.406397E-2
1.140000E-8	5.826411E-2
1.145000E-8	6.211824E-2
1.150000E-8	6.552357E-2
1.155000E-8	6.839790E-2
1.160000E-8	7.072408E-2
1.165000E-8	7.250554E-2
1.170000E-8	7.370117E-2
1.175000E-8	7.427672E-2
1.180000E-8	7.427672E-2
1.185000E-8	7.375941E-2
1.190000E-8	7.271794E-2
1.195000E-8	7.115916E-2
1.200000E-8	6.916872E-2
1.205000E-8	6.679458E-2
1.210000E-8	6.404702E-2
1.215000E-8	6.097742E-2
1.220000E-8	5.768856E-2
1.225000E-8	5.421128E-2
1.230000E-8	5.056271E-2
1.235000E-8	4.684220E-2
1.240000E-8	4.312510E-2
1.245000E-8	3.939774E-2
1.250000E-8	3.572861E-2
1.255000E-8	3.221022E-2
1.260000E-8	2.886998E-2
1.265000E-8	2.575242E-2
1.270000E-8	2.295346E-2
1.275000E-8	2.050053E-2
1.280000E-8	1.846212E-2
1.285000E-8	1.692047E-2
1.290000E-8	1.588243E-2
1.295000E-8	1.538225E-2
1.300000E-8	1.550558E-2
1.305000E-8	1.622159E-2
1.310000E-8	1.747204E-2
1.315000E-8	1.929804E-2
1.320000E-8	2.170644E-2
1.325000E-8	2.459789E-2
1.330000E-8	2.791073E-2
1.335000E-8	3.160726E-2
1.340000E-8	3.561555E-2
1.345000E-8	3.985338E-2
1.350000E-8	4.420426E-2
1.355000E-8	4.860310E-2
1.360000E-8	5.296769E-2
1.365000E-8	5.717811E-2
1.370000E-8	6.111788E-2
1.375000E-8	6.469793E-2
1.380000E-8	6.784633E-2
1.385000E-8	7.046713E-2
1.390000E-8	7.246100E-2
1.395000E-8	7.380395E-2
